Company,Date,POC,Sector,Status,Why is this exciting?,Risks,Conviction Score (on 10),Reasons for Pass,Reasons to watch,Action required
PlayBlue,6th Jan,Rohit,Sports-tech,IC,Great founding team + whitespace,Execution risks exist,8,,,
BUSEit,20th Jan,Rohit,Consumer tech,Pass,Exceptional founding team,"Product proposition unclear, economics unclear",4,Couldn't get conviction on the market,,
Xfinity Aerospace,6th Jan,Ayush Tyagi,Deep tech,Track,Founder spent decades working on the same thing in the forces had already won the Idex challenge.,Execution risk + Government payment risk,7,The valuation was too high,Founder is really good. ,
Astra.ai,6th Jan,Ritik,AI SaaS,Track,,,,,,
Voxar,6th Jan,Ritik,Fintech,Track,,,,,,
Helios,14th Jan,Ritik,Deeptech,Track,,,,,,
Optimize,14th Jan,Ritik,Fintech,Track,,,,,,
Rufavet,20th Jan,Ayush Sahoo,Vet Pharma,Pass,A white space in Indian Vet pharma scenario,"Founders not ambitious enough, co-founder has a side business which is bigger",2,Could'nt get conviction on founder,,
Yesterday,20th Jan,Ritik,Consumer Brand,Track,,,,,,
Atronous AI,27th Jan,Ayush Sahoo,Qcom AI,Pass,,,,US Delaware C corp,,
Clearo AI,27th Jan,Ayush Sahoo,Fin AI,Pass,"Founder was good, problem felt real because HDFC securitites also is a trial client",Too early for us - neither the product nor the regulatory compliance are done yet,4,Product was fishy - couldnot tell the tech in a clear way,,
QRL Biosciences,27th Jan,Ayush Tyagi,Advance Pharmaceuticals,Track,,,,,,
Mankomb,6th Jan,Rohit,Consumer brand,Milestone watch,Product innovation + early traction,"GTM, Market could be small, Product has to work well",6,,Wait to see if the product works in real world,
Logixair,6th Jan,Deepak,Deep tech,Track,,,,,,
Opus Collect,6th Jan,Ritik,Fintech,Active Diligence,Tech first collection agency + Strong collection expertise of the founder + Good early traction,Digital revenue does not scale up well leading to lower future multiples,8,,,
Hypernorm.ai,27th Jan,Ayush Sahoo,Fin AI,Milestone watch,"Founding team with great credentials, deep tech product creating an entire OS for finacial institutes and RIAs, structured notes another big open avenue to double down(contract with morgan stanley)","Founder not acquainted much with US GTM, although the product is to be sold in US majorly ; No clear ref checks on product could be done after talking to indian design partners",5,They raised before we could pass/move ahead from Capital 2B and Sense AI Ventures - 1.5M round,"See US traction, if good nothing bad in participating in bridge since product is unique",
Social Hardware,3rd Feb,Ritik,Deeptech/ Defense,Pass,,,,,,
Frizzle,3rd Feb,Ritik,Edtech,Pass,,,,,,
Hathor Space,3rd Feb,Ritik,Deeptech/ Spacr,Pass,,,,,,
Khare Classes,3rd Feb,Ritik,Edtech,Pass,,,,,,
Driif.ai,9th Feb,Ayush Tyagi,Deeptech/ Defense,Working on it,,,,,,
khayaal.ai,16th Feb,Ayush Sahoo,AI Anime,IC,Animations tailwind + Product readiness along with Good story telling skills,GTM & Distribution- Founders dont know much they have to figure out,8.5,,,
bentolabs.ai,16th Feb,Ayush Sahoo,AI SAAS,Active Diligence,Founder Emergent first hire + Product depth + White space ,"Got YC funded after we were in talks, Delaware C Corp, Participation and high seed valuation is risk here",9,,Technical and product depth is pretty high,
Punctualiti FM,16th Feb,Ayush Tyagi,Proptech,Pass,Revenue generating + Pre-existing operating leverage only requiring small sums to scale revenue 50%,Replacability of product itself. ,6,,Founder is a good salesman,"Founder will share data, is delaying that for some reason"
Sandowitch,22nd Feb,Ayush Sahoo,QSR Retail,Pass,"2nd best founder i have seen in lifetime in terms of pitch and clarity on business, ""affordable sandwitch brand"" clear white space in modern QSR",Executions/Operational risk in scaling,8,"Single old founder risk, QSR not a great business to be in - very few PE/public market success stories like Belgian Waffle/Theobroma in recent days, Founder Ref check not good",Exceptionally good product and startegy to scale - founder pitches well - knows his stuff as well,
Autoloops,22nd Feb,Ayush Sahoo,AI SAAS,Active Diligence,Good Founding Team + Global tailwinds in marketting analytics and video creation space,"GTM + Cracking ""B2B"" penetration to brand teams where team doesnot have technical depth",7,,Technical and product depth is pretty high,
Pulze AI,23rd Feb,Ayush Tyagi,Deeptech,Track,"Founders are industry veterans and only 4 other people doing it besides them, biggest startup out of which has pivoted twice and unable to get sales due to them being ""outsiders"" ",Fund raise risk in terms that the founder is extremely technical and might not be able to abstract depth to a level that might suit investors. ,8,,Sound team and market,Clarity on GTM roadmap and product development timelines. 
Refringence,23rd Feb,Ayush Tyagi,AI Hardware,Working on it,"There are very successful software equivalents, the founders are naturall hardware enthusiasts having worked with a few novel startups looking to provide easy solution at higher abstraction levels. ",Consumer traction (Retail) + GTM (B2B),7,,,
Syncthreads Computing,24th Feb,Ritik,Deeptech/Defense,Passed,Founding team is good mix of Tech + Defense procurement experience,Order risk from the government is high. Can be a case where we invest and they do not get both orders,7,Could not conviction on what would be the eventual TAM for the market and how they will get recurring revenue as orders for the government are unpredictable,,
Melooha,4th Mar,Ayush Sahoo,AI Astrology,Working on it,"High M1 retention, good founder, fast scaling, marketplace startimg in 2-3 months","Crowded space, no public market incumbent",6,,,
2care.ai,4th Mar,Ayush Sahoo,AI Healthtech,Working on it,,,,Delaware C Corp,,
Wingy,4th March,Ritik,Consumer tech,Working on it,"Dating apps are not working, Voice AI based dating has started working well in the US with setup-based pricing. Helps to provide outcome based pricing structure.","1 company funded - Wavelength, thus networking efffects might go to them. Have already launched. Better team on paper.",7,,,
Dots Autonomous,2nd Mar,Ayush Tyagi,Automotive,Working on it,"Their patented infrastructure solutions are more efficient for L4/L5 automation espeically for confined areas like tech parks, mines, grounds. ",GTM + Execution + Fund Raise,7,,,
DesignX,2nd Mar,Ayush Tyagi,SAAS,Working on it,Comprehensive library of modules for processes on the factory line + Lock in by selling hardware.,In-house competition from the likes of ITC,8,,,
Unq-you,10 March,Ritik,Consumer Brand,Working on it,Trying to create a made to order fashion brand using AI by enabling manufacturing ,Competitiors might also enter the game ,8,,,
AECP (Autonomous Eng Control Plain),10th Mar,Ayush Sahoo,AI SAAS,Working on it,"The AI SRE category just minted its first unicorn on $4M ARR — and AECP is the only player trying to own the full context layer across all 6 SDLC stages, not just incident response. ++ Great fouding team - ex coin dcx cto and senior team",,,,,
